number,name,organ_smiles
386,MIL(68)AlNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
387,MIL(68)AlNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
388,MIL(68)AlNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
389,MIL(68)AlNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
390,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
391,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
392,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
393,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
394,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
395,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
396,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
397,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
398,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
399,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
400,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
401,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
402,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
403,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
404,MIL(101)FeNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
405,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
406,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
407,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
408,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
409,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
410,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
411,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
412,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
413,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
414,CeBDCNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
415,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
416,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
417,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
418,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
419,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
420,MOF(66)Ce,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
421,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
